nid1,nid2,walk distance (m)
s303001,s303002,0
s303001,s303005,1360
s303001,s303024,838
s303001,s303025,838
s303001,s303028,1117
s303001,s303038,677
s303001,s303042,366
s303001,s303069,899
s303001,s303070,899
s303001,s303071,551
s303001,s303074,579
s303001,s303083,810
s303001,s304005,1306
s303001,s304010,1785
s303001,s304011,1785
s303001,s304019,1806
s303001,s304031,2121
s303001,s305004,2708
s303001,s305011,2709
s303001,s305072,2737
s303001,s305070,2781
s303001,s305073,2781
s303001,s305029,2655
s303001,s305076,2700
s303001,s305036,2700
s303001,s305042,2502
s303001,s305046,1865
s303001,s305047,1865
s303001,s308005,5549
s303001,s308017,5940
s303001,s308020,5652
s303001,s308028,5294
s303001,s308032,5063
s303001,s308034,5390
s303001,s309012,6583
s303001,s309017,6296
s303001,s309018,6296
s303001,s309019,6392
s303001,s309029,5966
s303001,s309036,6629
s303001,s309045,6240
s303001,s310005,3270
s303001,s310009,4240
s303001,s310021,3360
s303001,s310029,3183
s303001,s310032,3238
s303002,s303005,1360
s303002,s303024,838
s303002,s303025,838
s303002,s303028,1117
s303002,s303038,677
s303002,s303042,366
s303002,s303069,899
s303002,s303070,899
s303002,s303071,551
s303002,s303074,579
s303002,s303083,810
s303002,s304005,1306
s303002,s304010,1785
s303002,s304011,1785
s303002,s304019,1806
s303002,s304031,2121
s303002,s305004,2708
s303002,s305011,2709
s303002,s305072,2737
s303002,s305070,2781
s303002,s305073,2781
s303002,s305029,2655
s303002,s305076,2700
s303002,s305036,2700
s303002,s305042,2502
s303002,s305046,1865
s303002,s305047,1865
s303002,s308005,5549
s303002,s308017,5940
s303002,s308020,5652
s303002,s308028,5294
s303002,s308032,5063
s303002,s308034,5390
s303002,s309012,6583
s303002,s309017,6296
s303002,s309018,6296
s303002,s309019,6392
s303002,s309029,5966
s303002,s309036,6629
s303002,s309045,6240
s303002,s310005,3270
s303002,s310009,4240
s303002,s310021,3360
s303002,s310029,3183
s303002,s310032,3238
s303005,s303025,983
s303005,s303028,1219
s303005,s303038,1200
s303005,s303042,1407
s303005,s303069,484
s303005,s303070,484
s303005,s303071,1074
s303005,s303074,1102
s303005,s303083,886
s303005,s304005,1407
s303005,s304019,790
s303005,s304031,1105
s303005,s305004,2642
s303005,s305011,2643
s303005,s305029,2589
s303005,s305042,2436
s303005,s308005,5838
s303005,s308017,6229
s303005,s308020,5941
s303005,s308028,5583
s303005,s308032,5352
s303005,s308034,5679
s303005,s309012,7498
s303005,s309017,7211
s303005,s309018,7211
s303005,s309019,7307
s303005,s309029,6854
s303005,s309036,7544
s303005,s309045,7138
s303005,s310005,2254
s303005,s310009,3224
s303005,s310021,2344
s303016,s303001,1206
s303016,s303002,1206
s303016,s303005,155
s303016,s303024,829
s303016,s303025,829
s303016,s303028,1065
s303016,s303038,1046
s303016,s303042,1253
s303016,s303069,330
s303016,s303070,330
s303016,s303071,920
s303016,s303074,948
s303016,s303083,732
s303016,s304005,1253
s303016,s304009,722
s303016,s304010,615
s303016,s304011,615
s303016,s304053,671
s303016,s304046,1020
s303016,s304018,1020
s303016,s304019,636
s303016,s304023,934
s303016,s304026,962
s303016,s304027,962
s303016,s304031,951
s303016,s305004,2488
s303016,s305011,2489
s303016,s305072,2517
s303016,s305070,2561
s303016,s305073,2561
s303016,s305029,2435
s303016,s305076,2480
s303016,s305036,2480
s303016,s305042,2282
s303016,s305046,1812
s303016,s305047,1812
s303016,s308005,5684
s303016,s308017,6075
s303016,s308020,5787
s303016,s308025,5541
s303016,s308028,5429
s303016,s308032,5198
s303016,s308034,5525
s303016,s309012,7344
s303016,s309017,7057
s303016,s309018,7057
s303016,s309019,7153
s303016,s309029,6700
s303016,s309036,7390
s303016,s309045,6984
s303016,s310005,2100
s303016,s310009,3070
s303016,s310021,2190
s303016,s310029,2013
s303016,s310032,2068
s303024,s303005,983
s303024,s303025,0
s303024,s303028,901
s303024,s303038,678
s303024,s303042,860
s303024,s303069,521
s303024,s303070,521
s303024,s303071,552
s303024,s303074,580
s303024,s303083,407
s303024,s304005,1090
s303024,s304010,1407
s303024,s304011,1407
s303024,s304019,1428
s303024,s304031,1743
s303024,s305004,2343
s303024,s305011,2344
s303024,s305070,2416
s303024,s305073,2416
s303024,s305029,2290
s303024,s305042,2137
s303024,s305046,1649
s303024,s305047,1649
s303024,s308005,5034
s303024,s308017,5425
s303024,s308020,5137
s303024,s308028,4779
s303024,s308032,4548
s303024,s308034,4875
s303024,s309012,6694
s303024,s309017,6407
s303024,s309018,6407
s303024,s309019,6503
s303024,s309029,6050
s303024,s309036,6740
s303024,s309045,6334
s303024,s310005,2893
s303024,s310009,3863
s303024,s310021,2983
s303024,s310029,2806
s303024,s310032,2861
s303025,s303028,901
s303025,s303069,521
s303025,s303070,521
s303025,s304005,1090
s303025,s304019,1428
s303025,s308005,5034
s303025,s308017,5425
s303025,s308020,5137
s303025,s308028,4779
s303025,s308032,4548
s303025,s308034,4875
s303025,s309036,6740
s303025,s310009,3863
s303028,s303069,758
s303028,s303070,758
s303028,s304005,240
s303028,s304019,1665
s303028,s308005,5756
s303028,s308017,6147
s303028,s308020,5859
s303028,s308028,5501
s303028,s308032,5270
s303028,s308034,5597
s303028,s309036,7462
s303028,s310009,3843
s303038,s303025,678
s303038,s303028,957
s303038,s303069,739
s303038,s303070,739
s303038,s303083,650
s303038,s304005,1146
s303038,s304019,1646
s303038,s304031,1961
s303038,s305004,2548
s303038,s305011,2549
s303038,s305029,2495
s303038,s305042,2342
s303038,s308005,5533
s303038,s308017,5924
s303038,s308020,5636
s303038,s308028,5278
s303038,s308032,5047
s303038,s308034,5374
s303038,s309036,7239
s303038,s310005,3110
s303038,s310009,4080
s303038,s310021,3200
s303042,s303025,860
s303042,s303028,1234
s303042,s303038,1012
s303042,s303069,946
s303042,s303070,946
s303042,s303071,886
s303042,s303074,914
s303042,s303083,832
s303042,s304005,1423
s303042,s304019,1853
s303042,s304031,2168
s303042,s305004,2755
s303042,s305011,2756
s303042,s305029,2702
s303042,s305042,2549
s303042,s308005,5279
s303042,s308017,5670
s303042,s308020,5382
s303042,s308028,5024
s303042,s308032,4793
s303042,s308034,5120
s303042,s309012,6313
s303042,s309017,6026
s303042,s309018,6026
s303042,s309019,6122
s303042,s309029,5696
s303042,s309036,6359
s303042,s309045,5970
s303042,s310005,3317
s303042,s310009,4287
s303042,s310021,3407
s303052,s303001,76
s303052,s303002,76
s303052,s303005,1284
s303052,s303016,1130
s303052,s303024,762
s303052,s303025,762
s303052,s303028,1041
s303052,s303038,601
s303052,s303042,442
s303052,s303053,0
s303052,s303069,823
s303052,s303070,823
s303052,s303071,475
