nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
301003,301005.0,301156.0,301164.0,301001.0,301172.0,301111.0,1.0,10.0,10.0,10.0,10.0,10.0,73.0,1.0
301006,301007.0,301003.0,301039.0,,,,1.0,10.0,10.0,,,,78.0,1.0
301007,301006.0,403341.0,403342.0,403343.0,403344.0,403345.0,1.0,5.0,5.0,5.0,7.0,7.0,77.0,2.0
301008,301009.0,301016.0,301142.0,,,,1.0,10.0,10.0,,,,80.0,1.0
301009,301008.0,301142.0,302103.0,,,,1.0,9.0,9.0,,,,83.0,2.0
301012,301013.0,,,,,,1.0,,,,,,83.0,1.0
301013,301012.0,,,,,,1.0,,,,,,78.0,2.0
301014,301015.0,310038.0,402002.0,301023.0,301156.0,301076.0,1.0,8.0,8.0,8.0,10.0,10.0,69.0,1.0
301015,301014.0,,,,,,1.0,,,,,,67.0,2.0
301016,301017.0,310010.0,307120.0,,,,1.0,11.0,9.0,,,,75.0,1.0
301017,301016.0,301019.0,301177.0,400007.0,,,1.0,10.0,10.0,5.0,,,73.0,2.0
301018,301019.0,,,,,,1.0,,,,,,76.0,1.0
301019,301018.0,301017.0,301117.0,,,,1.0,10.0,10.0,,,,73.0,2.0
301021,301022.0,302066.0,302014.0,305044.0,,,1.0,11.0,11.0,11.0,,,64.0,2.0
301023,301024.0,301058.0,302120.0,302123.0,301098.0,301101.0,1.0,11.0,11.0,11.0,11.0,11.0,73.0,1.0
301024,301023.0,400013.0,400012.0,,,,1.0,5.0,6.0,,,,73.0,2.0
301025,301026.0,301106.0,301096.0,301058.0,301101.0,301041.0,1.0,10.0,9.0,9.0,10.0,10.0,69.0,1.0
301026,301025.0,403003.0,403267.0,403266.0,403191.0,403189.0,1.0,15.0,11.0,15.0,11.0,11.0,65.0,2.0
301027,301170.0,301043.0,403076.0,306131.0,307034.0,307074.0,1.0,10.0,10.0,9.0,9.0,9.0,78.0,2.0
301170,301027.0,400016.0,301043.0,,,,1.0,5.0,11.0,,,,79.0,1.0
301030,301087.0,301055.0,301080.0,,,,1.0,10.0,9.0,,,,79.0,2.0
301032,,301179.0,402010.0,403319.0,,,,5.0,5.0,5.0,,,75.0,1.0
301033,301034.0,403265.0,402277.0,403231.0,403170.0,403197.0,1.0,6.0,5.0,5.0,7.0,7.0,70.0,2.0
301034,301033.0,302122.0,302119.0,308042.0,305023.0,305072.0,1.0,11.0,11.0,11.0,11.0,11.0,75.0,1.0
301041,301042.0,402011.0,301043.0,,,,1.0,11.0,11.0,,,,62.0,1.0
301132,,301041.0,301042.0,,,,,5.0,6.0,,,,91.0,1.0
301042,301041.0,400036.0,400037.0,,,,1.0,11.0,11.0,,,,58.0,2.0
310001,301043.0,400161.0,301055.0,,,,1.0,10.0,10.0,,,,73.0,2.0
301043,310001.0,,,,,,1.0,,,,,,76.0,1.0
301048,,301055.0,301080.0,301100.0,,,,9.0,9.0,10.0,,,72.0,2.0
301049,301050.0,302093.0,,,,,1.0,11.0,,,,,75.0,2.0
301050,301049.0,301064.0,,,,,1.0,8.0,,,,,77.0,1.0
301052,,301109.0,301063.0,301030.0,,,,10.0,10.0,10.0,,,72.0,2.0
301053,301054.0,,,,,,1.0,,,,,,81.0,1.0
301054,301053.0,,,,,,1.0,,,,,,76.0,2.0
301055,,301080.0,301048.0,,,,,9.0,9.0,,,,74.0,2.0
301059,301058.0,301063.0,301040.0,,,,1.0,10.0,10.0,,,,71.0,2.0
301061,301060.0,403214.0,403207.0,,,,1.0,11.0,9.0,,,,61.0,2.0
301062,301063.0,400067.0,403027.0,403029.0,403050.0,,1.0,5.0,5.0,5.0,5.0,,76.0,1.0
301063,301062.0,301059.0,301109.0,301052.0,301030.0,301055.0,1.0,9.0,10.0,10.0,10.0,10.0,72.0,2.0
301064,301065.0,,,,,,1.0,,,,,,74.0,1.0
301065,301064.0,301194.0,403295.0,403289.0,403026.0,403019.0,1.0,9.0,8.0,9.0,5.0,9.0,72.0,2.0
301068,,301183.0,301080.0,301055.0,,,,10.0,10.0,10.0,,,67.0,2.0
301069,301070.0,,,,,,1.0,,,,,,76.0,2.0
